No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
3,Jason Terry,SG,6-2,185,"September 15, 1977",us US,17,Arizona,MIL,2017
6,Axel Toupane,SF,6-7,197,"July 23, 1992",fr FR,1,,MIL,2017
20,Rashad Vaughn,SG,6-6,202,"August 16, 1996",us US,1,UNLV,MIL,2017
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,4,,MIL,2018
6,Eric Bledsoe,PG,6-1,214,"December 9, 1989",us US,7,Kentucky,MIL,2018
24,Joel Bolomboy,PF,6-9,235,"January 28, 1994",ua UA,1,Weber State,MIL,2018
13,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us US,1,Virginia,MIL,2018
23,Sterling Brown,SG,6-5,219,"February 10, 1995",us US,R,SMU,MIL,2018
8,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",au AU,4,Saint Mary's,MIL,2018
31,John Henson,C,6-9,219,"December 28, 1990",us US,5,UNC,MIL,2018
11,Brandon Jennings,PG,6-1,170,"September 23, 1989",us US,8,,MIL,2018
9,Sean Kilpatrick,SG,6-4,210,"January 6, 1990",us US,3,Cincinnati,MIL,2018
25,DeAndre Liggins,SG,6-6,209,"March 31, 1988",us US,4,Kentucky,MIL,2018
7,Thon Maker,C,7-0,221,"February 25, 1997",ss SS,1,,MIL,2018
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,5,Texas A&M,MIL,2018
15,Greg Monroe,C,6-11,265,"June 4, 1990",us US,7,Georgetown,MIL,2018
15,Shabazz Muhammad,SG,6-6,223,"November 13, 1992",us US,4,UCLA,MIL,2018
0,Xavier Munford,SG,6-2,180,"June 1, 1992",us US,1,Rhode Island,MIL,2018
12,Jabari Parker,PF,6-8,245,"March 15, 1995",us US,3,Duke,MIL,2018
0,Gary Payton II,PG,6-2,190,"December 1, 1992",us US,1,Oregon State,MIL,2018
40,Marshall Plumlee,C,7-0,250,"July 14, 1992",us US,1,Duke,MIL,2018
21,Tony Snell,SG,6-6,213,"November 10, 1991",us US,4,New Mexico,MIL,2018
35,Mirza Teletović,PF,6-9,242,"September 18, 1985",ba BA,5,,MIL,2018
3,Jason Terry,SG,6-2,185,"September 15, 1977",us US,18,Arizona,MIL,2018
20,Rashad Vaughn,SG,6-6,202,"August 16, 1996",us US,2,UNLV,MIL,2018
5,D.J. Wilson,PF,6-10,231,"February 19, 1996",us US,R,Michigan,MIL,2018
44,Tyler Zeller,C,7-0,253,"January 17, 1990",us US,5,UNC,MIL,2018
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,5,,MIL,2019
6,Eric Bledsoe,PG,6-1,214,"December 9, 1989",us US,8,Kentucky,MIL,2019
13,Malcolm Brogdon,SG,6-4,229,"December 11, 1992",us US,2,Virginia,MIL,2019
23,Sterling Brown,SG,6-5,219,"February 10, 1995",us US,1,SMU,MIL,2019
7,Isaiah Canaan,PG,6-0,201,"May 21, 1991",us US,5,Murray State,MIL,2019
50,Bonzie Colson,SF,6-6,224,"January 12, 1996",us US,R,Notre Dame,MIL,2019
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",us US,3,Notre Dame,MIL,2019
8,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",au AU,5,Saint Mary's,MIL,2019
9,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,R,Villanova,MIL,2019
0,Trevon Duval,PG,6-2,189,"August 3, 1998",us US,R,Duke,MIL,2019
12,Tim Frazier,PG,6-0,170,"November 1, 1990",us US,4,Penn State,MIL,2019
17,Pau Gasol,C,7-0,250,"July 6, 1980",es ES,17,,MIL,2019
31,John Henson,C,6-9,219,"December 28, 1990",us US,6,UNC,MIL,2019
3,George Hill,PG,6-4,188,"May 4, 1986",us US,10,IUPUI,MIL,2019
77,Ersan İlyasova,PF,6-9,235,"May 15, 1987",tr TR,10,,MIL,2019
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,10,Stanford,MIL,2019
7,Thon Maker,C,7-0,221,"February 25, 1997",ss SS,2,,MIL,2019
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,6,Texas A&M,MIL,2019
41,Nikola Mirotić,PF,6-10,250,"February 11, 1991",me ME,4,,MIL,2019
30,Jaylen Morris,SG,6-5,185,"September 19, 1995",us US,1,Molloy,MIL,2019
20,Jason Smith,PF,7-0,240,"March 2, 1986",us US,10,Colorado State,MIL,2019
21,Tony Snell,SF,6-6,213,"November 10, 1991",us US,5,New Mexico,MIL,2019
5,D.J. Wilson,PF,6-10,231,"February 19, 1996",us US,1,Michigan,MIL,2019
35,Christian Wood,PF,6-8,214,"September 27, 1995",us US,2,UNLV,MIL,2019
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,6,,MIL,2020
43,Thanasis Antetokounmpo,SF,6-7,219,"July 18, 1992",gr GR,1,,MIL,2020
17,Dragan Bender,C,7-0,225,"November 17, 1997",ba BA,3,,MIL,2020
6,Eric Bledsoe,PG,6-1,214,"December 9, 1989",us US,9,Kentucky,MIL,2020
23,Sterling Brown,SF,6-5,219,"February 10, 1995",us US,2,SMU,MIL,2020
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",us US,4,Notre Dame,MIL,2020
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,1,Villanova,MIL,2020
3,George Hill,PG,6-4,188,"May 4, 1986",us US,11,IUPUI,MIL,2020
7,Ersan İlyasova,PF,6-9,235,"May 15, 1987",tr TR,11,,MIL,2020
26,Kyle Korver,SF,6-7,212,"March 17, 1981",us US,16,Creighton,MIL,2020
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,11,Stanford,MIL,2020
42,Robin Lopez,C,7-1,281,"April 1, 1988",us US,11,Stanford,MIL,2020
15,Frank Mason III,PG,5-11,190,"April 3, 1994",us US,2,Kansas,MIL,2020
9,Wesley Matthews,SG,6-5,220,"October 14, 1986",us US,10,Marquette,MIL,2020
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,7,Texas A&M,MIL,2020
20,Marvin Williams,PF,6-8,237,"June 19, 1986",us US,14,UNC,MIL,2020
5,D.J. Wilson,PF,6-10,231,"February 19, 1996",us US,2,Michigan,MIL,2020
6,Jaylen Adams,PG,6-0,225,"May 4, 1996",us US,2,St. Bonaventure,MIL,2021
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,7,,MIL,2021
43,Thanasis Antetokounmpo,SF,6-7,219,"July 18, 1992",gr GR,2,,MIL,2021
12,D.J. Augustin,PG,5-11,183,"November 10, 1987",us US,12,Texas,MIL,2021
3,Elijah Bryant,SG,6-5,210,"April 19, 1995",us US,R,"Elon University, BYU",MIL,2021
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",us US,5,Notre Dame,MIL,2021
3,Torrey Craig,SF,6-7,221,"December 19, 1990",us US,3,USC Upstate,MIL,2021
25,Mamadi Diakite,PF,6-9,228,"January 21, 1997",gn GN,R,Virginia,MIL,2021
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,2,Villanova,MIL,2021
7,Bryn Forbes,SG,6-2,205,"July 23, 1993",us US,4,Michigan State,MIL,2021
21,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,11,UCLA,MIL,2021
44,Justin Jackson,SF,6-8,220,"March 28, 1995",us US,3,UNC,MIL,2021
0,Rodions Kurucs,SF,6-9,228,"February 5, 1998",lv LV,2,,MIL,2021
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,12,Stanford,MIL,2021
15,Sam Merrill,SG,6-4,205,"May 15, 1996",us US,R,Utah State University,MIL,2021
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,8,Texas A&M,MIL,2021
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us US,R,Louisville,MIL,2021
9,Bobby Portis,C,6-10,250,"February 10, 1995",us US,5,Arkansas,MIL,2021
5,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,11,Wake Forest,MIL,2021
66,Axel Toupane,SF,6-7,197,"July 23, 1992",fr FR,2,,MIL,2021
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us US,9,Texas,MIL,2021
5,D.J. Wilson,PF,6-10,231,"February 19, 1996",us US,3,Michigan,MIL,2021
7,Grayson Allen,SG,6-4,198,"October 8, 1995",us US,3,Duke,MIL,2022
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,8,,MIL,2022
43,Thanasis Antetokounmpo,SF,6-7,219,"July 18, 1992",gr GR,3,,MIL,2022
95,DeAndre' Bembry,SF,6-5,210,"July 4, 1994",us US,5,Saint Joseph's,MIL,2022
5,Jevon Carter,PG,6-1,200,"September 14, 1995",us US,3,West Virginia,MIL,2022
24,Pat Connaughton,SF,6-5,209,"January 6, 1993",us US,6,Notre Dame,MIL,2022
15,DeMarcus Cousins,C,6-10,270,"August 13, 1990",us US,10,Kentucky,MIL,2022
12,Javin DeLaurier,C,6-10,237,"April 7, 1998",us US,R,Duke,MIL,2022
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,3,Villanova,MIL,2022
15,Jeff Dowtin,PG,6-3,185,"May 10, 1997",us US,R,Rhode Island,MIL,2022
12,Langston Galloway,SG,6-1,200,"December 9, 1991",us US,7,Saint Joseph's,MIL,2022
3,George Hill,PG,6-4,188,"May 4, 1986",us US,13,IUPUI,MIL,2022
21,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,12,UCLA,MIL,2022
5,Rodney Hood,PF,6-8,208,"October 20, 1992",us US,7,"Mississippi State, Duke",MIL,2022
25,Serge Ibaka,C,6-11,235,"September 18, 1989",cg CG,12,,MIL,2022
18,Georgios Kalaitzakis,SF,6-8,192,"January 2, 1999",gr GR,R,,MIL,2022
35,Luke Kornet,C,7-2,250,"July 15, 1995",us US,4,Vanderbilt,MIL,2022
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,13,Stanford,MIL,2022
54,Sandro Mamukelashvili,PF,6-11,240,"May 23, 1999",us US,R,Seton Hall,MIL,2022
23,Wesley Matthews,SG,6-5,220,"October 14, 1986",us US,12,Marquette,MIL,2022
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,9,Texas A&M,MIL,2022
15,Greg Monroe,C,6-11,265,"June 4, 1990",us US,9,Georgetown,MIL,2022
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us US,1,Louisville,MIL,2022
37,Semi Ojeleye,PF,6-6,240,"December 5, 1994",us US,4,"Duke, SMU",MIL,2022
9,Bobby Portis,C,6-10,250,"February 10, 1995",us US,6,Arkansas,MIL,2022
55,Justin Robinson,PG,6-1,195,"October 12, 1997",us US,2,Virginia Tech,MIL,2022
6,Javonte Smart,PG,6-4,205,"June 3, 1999",us US,R,LSU,MIL,2022
59,Rayjon Tucker,SG,6-3,209,"September 24, 1997",us US,2,"Florida Gulf Coast, Little Rock",MIL,2022
6,Luca Vildoza,PG,6-3,190,"August 11, 1995",ar AR,R,,MIL,2022
28,Lindell Wigginton,PG,6-2,189,"March 28, 1998",ca CA,R,Iowa State,MIL,2022
12,Grayson Allen,SG,6-4,198,"October 8, 1995",us US,4,Duke,MIL,2023
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,9,,MIL,2023
43,Thanasis Antetokounmpo,PF,6-7,219,"July 18, 1992",gr GR,4,,MIL,2023
0,MarJon Beauchamp,SF,6-6,199,"October 12, 2000",us US,R,Yakima Valley Community College,MIL,2023
5,Jevon Carter,PG,6-1,200,"September 14, 1995",us US,4,West Virginia,MIL,2023
24,Pat Connaughton,SF,6-5,209,"January 6, 1993",us US,7,Notre Dame,MIL,2023
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us US,10,Marquette,MIL,2023
31,Goran Dragić,PG,6-4,190,"May 6, 1986",si SI,14,,MIL,2023
20,A.J. Green,SG,6-4,200,"September 27, 1999",us US,R,University of Northern Iowa,MIL,2023
3,George Hill,PG,6-4,188,"May 4, 1986",us US,14,IUPUI,MIL,2023
21,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,13,UCLA,MIL,2023
25,Serge Ibaka,C,6-11,235,"September 18, 1989",cg CG,13,,MIL,2023
7,Joe Ingles,SF,6-9,220,"October 2, 1987",au AU,8,,MIL,2023
3,Meyers Leonard,C,7-0,260,"February 27, 1992",us US,9,Illinois,MIL,2023
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,14,Stanford,MIL,2023
54,Sandro Mamukelashvili,C,6-11,240,"May 23, 1999",us US,1,Seton Hall,MIL,2023
23,Wesley Matthews,SF,6-5,220,"October 14, 1986",us US,13,Marquette,MIL,2023
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,10,Texas A&M,MIL,2023
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us US,2,Louisville,MIL,2023
9,Bobby Portis,PF,6-10,250,"February 10, 1995",us US,7,Arkansas,MIL,2023
28,Lindell Wigginton,PG,6-2,189,"March 28, 1998",ca CA,1,Iowa State,MIL,2023
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,10,,MIL,2024
43,Thanasis Antetokounmpo,PF,6-7,219,"July 18, 1992",gr GR,5,,MIL,2024
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,7,Florida State,MIL,2024
3,MarJon Beauchamp,SF,6-6,199,"October 12, 2000",us US,1,Yakima Valley Community College,MIL,2024
21,Patrick Beverley,PG,6-2,180,"July 12, 1988",us US,11,Arkansas,MIL,2024
12,Marques Bolden,C,6-10,249,"April 17, 1998",us US,2,Duke,MIL,2024
24,Pat Connaughton,SF,6-5,209,"January 6, 1993",us US,8,Notre Dame,MIL,2024
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us US,11,Marquette,MIL,2024
12,Danilo Gallinari,SF,6-10,233,"August 8, 1988",it IT,13,,MIL,2024
20,A.J. Green,SG,6-4,200,"September 27, 1999",us US,1,University of Northern Iowa,MIL,2024
44,Andre Jackson Jr.,SG,6-6,210,"November 13, 2001",us US,R,UConn,MIL,2024
0,Damian Lillard,PG,6-2,195,"July 15, 1990",us US,11,Weber State,MIL,2024
7,Chris Livingston,SF,6-6,220,"October 15, 2003",us US,R,Kentucky,MIL,2024
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,15,Stanford,MIL,2024
42,Robin Lopez,C,7-1,281,"April 1, 1988",us US,15,Stanford,MIL,2024
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,11,Texas A&M,MIL,2024
15,Cameron Payne,PG,6-3,183,"August 8, 1994",us US,8,Murray State,MIL,2024
9,Bobby Portis,PF,6-10,250,"February 10, 1995",us US,8,Arkansas,MIL,2024
55,Ryan Rollins,PG,6-4,180,"July 3, 2002",us US,1,Toledo,MIL,2024
23,TyTy Washington Jr.,PG,6-3,197,"November 15, 2001",us US,1,Kentucky,MIL,2024
28,Lindell Wigginton,PG,6-2,189,"March 28, 1998",ca CA,2,Iowa State,MIL,2024
5,William Avery,PG,6-2,197,"August 8, 1979",us US,1,Duke,MIN,2001
4,Chauncey Billups,SG,6-3,202,"September 25, 1976",us US,3,Colorado,MIN,2001
7,Terrell Brandon,PG,5-11,180,"May 20, 1970",us US,9,Oregon,MIN,2001
11,Todd Day,SG,6-6,188,"January 7, 1970",us US,7,Arkansas,MIN,2001
3,LaPhonso Ellis,PF,6-8,240,"May 5, 1970",us US,8,Notre Dame,MIN,2001
21,Kevin Garnett,PF,6-11,240,"May 19, 1976",us US,5,,MIN,2001
22,Dean Garrett,C,6-10,225,"November 27, 1966",us US,4,Indiana,MIN,2001
20,Tom Hammonds,PF,6-9,215,"March 27, 1967",us US,11,Georgia Tech,MIN,2001
6,Sam Jacobson,PG,6-4,215,"July 22, 1975",us US,2,Minnesota,MIN,2001
13,Felipe López,PG,6-5,199,"December 19, 1974",do DO,2,St. John's,MIN,2001
42,Sam Mitchell,SF,6-6,210,"September 2, 1963",us US,11,Mercer University,MIN,2001
8,Rasho Nesterović,C,7-0,248,"May 30, 1976",si SI,2,,MIN,2001
44,Anthony Peeler,SG,6-4,208,"November 25, 1969",us US,8,Missouri,MIN,2001
35,Reggie Slater,PF,6-7,215,"August 27, 1970",us US,5,Wyoming,MIN,2001
10,Wally Szczerbiak,SF,6-7,244,"March 5, 1977",es ES,1,Miami University,MIN,2001
5,William Avery,PG,6-2,197,"August 8, 1979",us US,2,Duke,MIN,2002
4,Chauncey Billups,PG,6-3,202,"September 25, 1976",us US,4,Colorado,MIN,2002
7,Terrell Brandon,PG,5-11,180,"May 20, 1970",us US,10,Oregon,MIN,2002
1,Maurice Evans,SG,6-5,220,"November 8, 1978",us US,R,"Wichita State, Texas",MIN,2002
21,Kevin Garnett,PF,6-11,240,"May 19, 1976",us US,6,,MIN,2002
22,Dean Garrett,C,6-10,225,"November 27, 1966",us US,5,Indiana,MIN,2002
25,Marc Jackson,C,6-10,270,"January 16, 1975",us US,1,"VCU, Temple",MIN,2002
13,Felipe López,SG,6-5,199,"December 19, 1974",do DO,3,St. John's,MIN,2002
42,Sam Mitchell,SF,6-6,210,"September 2, 1963",us US,12,Mercer University,MIN,2002
8,Rasho Nesterović,C,7-0,248,"May 30, 1976",si SI,3,,MIN,2002
14,Robert Pack,PG,6-2,180,"February 3, 1969",us US,10,USC,MIN,2002
44,Anthony Peeler,SG,6-4,208,"November 25, 1969",us US,9,Missouri,MIN,2002
32,Joe Smith,C,6-10,225,"July 26, 1975",us US,6,Maryland,MIN,2002
10,Wally Szczerbiak,SF,6-7,244,"March 5, 1977",es ES,2,Miami University,MIN,2002
20,Gary Trent,PF,6-8,250,"September 22, 1974",us US,6,Ohio University,MIN,2002
3,Loren Woods,C,7-1,245,"June 21, 1978",us US,R,"Wake Forest, Arizona",MIN,2002
21,Kevin Garnett,PF,6-11,240,"May 19, 1976",us US,7,,MIN,2003
9,Kendall Gill,SG,6-5,195,"May 25, 1968",us US,12,Illinois,MIN,2003
16,Troy Hudson,PG,6-1,170,"March 13, 1976",us US,5,"Missouri, Southern Illinois",MIN,2003
25,Marc Jackson,C,6-10,270,"January 16, 1975",us US,2,"VCU, Temple",MIN,2003
8,Rasho Nesterović,C,7-0,248,"May 30, 1976",si SI,4,,MIN,2003
44,Anthony Peeler,SG,6-4,208,"November 25, 1969",us US,10,Missouri,MIN,2003
36,Igor Rakočević,PG,6-3,183,"March 29, 1978",rs RS,R,,MIN,2003
35,Reggie Slater,PF,6-7,215,"August 27, 1970",us US,7,Wyoming,MIN,2003
32,Joe Smith,SF,6-10,225,"July 26, 1975",us US,7,Maryland,MIN,2003
1,Rod Strickland,PG,6-3,175,"July 11, 1966",us US,14,DePaul,MIN,2003
10,Wally Szczerbiak,SF,6-7,244,"March 5, 1977",es ES,3,Miami University,MIN,2003
20,Gary Trent,SF,6-8,250,"September 22, 1974",us US,7,Ohio University,MIN,2003
29,Mike Wilks,PG,5-10,185,"May 7, 1979",us US,R,Rice University,MIN,2003
3,Loren Woods,C,7-1,245,"June 21, 1978",us US,1,"Wake Forest, Arizona",MIN,2003
19,Sam Cassell,PG,6-3,185,"November 18, 1969",us US,10,Florida State,MIN,2004
44,Ndudi Ebi,SF,6-9,200,"June 18, 1984",gb GB,R,,MIN,2004
21,Kevin Garnett,PF,6-11,240,"May 19, 1976",us US,8,,MIN,2004
5,Anthony Goldwire,PG,6-1,182,"September 6, 1971",us US,5,Houston,MIN,2004
23,Trenton Hassell,SG,6-5,200,"March 4, 1979",us US,2,Austin Peay State University,MIN,2004
32,Fred Hoiberg,SG,6-4,203,"October 15, 1972",us US,8,Iowa State,MIN,2004
16,Troy Hudson,PG,6-1,170,"March 13, 1976",us US,6,"Missouri, Southern Illinois",MIN,2004
40,Ervin Johnson,C,6-11,245,"December 21, 1967",us US,10,New Orleans,MIN,2004
24,Quincy Lewis,SF,6-7,215,"June 26, 1977",us US,3,Minnesota,MIN,2004
35,Mark Madsen,C,6-9,240,"January 28, 1976",us US,3,Stanford,MIN,2004
15,Darrick Martin,PG,5-11,170,"March 6, 1971",us US,8,UCLA,MIN,2004
4,Keith McLeod,PG,6-2,188,"November 5, 1979",us US,R,Bowling Green,MIN,2004
3,Oliver Miller,C,6-9,280,"April 6, 1970",us US,8,Arkansas,MIN,2004
34,Michael Olowokandi,C,7-0,269,"April 3, 1975",ng NG,5,University of the Pacific,MIN,2004
8,Latrell Sprewell,SF,6-5,190,"September 8, 1970",us US,11,"Three Rivers Community College, Alabama",MIN,2004
10,Wally Szczerbiak,SF,6-7,244,"March 5, 1977",es ES,4,Miami University,MIN,2004
20,Gary Trent,C,6-8,250,"September 22, 1974",us US,8,Ohio University,MIN,2004
7,Anthony Carter,PG,6-1,190,"June 16, 1975",us US,5,Hawaii,MIN,2005
19,Sam Cassell,PG,6-3,185,"November 18, 1969",us US,11,Florida State,MIN,2005
44,Ndudi Ebi,SG,6-9,200,"June 18, 1984",gb GB,1,,MIN,2005
21,Kevin Garnett,PF,6-11,240,"May 19, 1976",us US,9,,MIN,2005
41,Eddie Griffin,PF,6-10,220,"May 30, 1982",us US,2,Seton Hall,MIN,2005
23,Trenton Hassell,SG,6-5,200,"March 4, 1979",us US,3,Austin Peay State University,MIN,2005
32,Fred Hoiberg,SG,6-4,203,"October 15, 1972",us US,9,Iowa State,MIN,2005
16,Troy Hudson,PG,6-1,170,"March 13, 1976",us US,7,"Missouri, Southern Illinois",MIN,2005
40,Ervin Johnson,C,6-11,245,"December 21, 1967",us US,11,New Orleans,MIN,2005
35,Mark Madsen,C,6-9,240,"January 28, 1976",us US,4,Stanford,MIN,2005
34,Michael Olowokandi,C,7-0,269,"April 3, 1975",ng NG,6,University of the Pacific,MIN,2005
8,Latrell Sprewell,SF,6-5,190,"September 8, 1970",us US,12,"Three Rivers Community College, Alabama",MIN,2005
10,Wally Szczerbiak,SF,6-7,244,"March 5, 1977",es ES,5,Miami University,MIN,2005
12,John Thomas,C,6-9,265,"September 8, 1975",us US,3,Minnesota,MIN,2005
3,Marcus Banks,PG,6-2,200,"November 19, 1981",us US,2,"Dixie State (UT), UNLV",MIN,2006
30,Mark Blount,C,7-0,230,"November 30, 1975",us US,5,Pitt,MIN,2006
7,Anthony Carter,PG,6-1,190,"June 16, 1975",us US,6,Hawaii,MIN,2006
31,Ricky Davis,SF,6-6,195,"September 23, 1979",us US,7,Iowa,MIN,2006
12,Ronald Dupree,SF,6-7,209,"January 26, 1981",us US,2,LSU,MIN,2006
24,Richie Frahm,SG,6-5,210,"August 14, 1977",us US,2,Gonzaga,MIN,2006
21,Kevin Garnett,PF,6-11,240,"May 19, 1976",us US,10,,MIN,2006
41,Eddie Griffin,C,6-10,220,"May 30, 1982",us US,3,Seton Hall,MIN,2006
23,Trenton Hassell,SG,6-5,200,"March 4, 1979",us US,4,Austin Peay State University,MIN,2006
16,Troy Hudson,PG,6-1,170,"March 13, 1976",us US,8,"Missouri, Southern Illinois",MIN,2006
55,Marko Jarić,PG,6-7,198,"October 12, 1978",rs RS,3,,MIN,2006
35,Mark Madsen,C,6-9,240,"January 28, 1976",us US,5,Stanford,MIN,2006
1,Rashad McCants,SG,6-4,207,"September 25, 1984",us US,R,UNC,MIN,2006
34,Michael Olowokandi,C,7-0,269,"April 3, 1975",ng NG,7,University of the Pacific,MIN,2006
9,Justin Reed,SF,6-8,240,"January 16, 1982",us US,1,Ole Miss,MIN,2006
10,Wally Szczerbiak,SF,6-7,244,"March 5, 1977",es ES,6,Miami University,MIN,2006
17,Nikoloz Tskitishvili,PF,7-0,225,"April 14, 1983",ge GE,3,,MIN,2006
6,Bracey Wright,SG,6-3,210,"July 1, 1984",us US,R,Indiana,MIN,2006
30,Mark Blount,C,7-0,230,"November 30, 1975",us US,6,Pitt,MIN,2007
31,Ricky Davis,SF,6-6,195,"September 23, 1979",us US,8,Iowa,MIN,2007
4,Randy Foye,PG,6-4,213,"September 24, 1983",us US,R,Villanova,MIN,2007
21,Kevin Garnett,PF,6-11,240,"May 19, 1976",us US,11,,MIN,2007
41,Eddie Griffin,PF,6-10,220,"May 30, 1982",us US,4,Seton Hall,MIN,2007
23,Trenton Hassell,SG,6-5,200,"March 4, 1979",us US,5,Austin Peay State University,MIN,2007
16,Troy Hudson,PG,6-1,170,"March 13, 1976",us US,9,"Missouri, Southern Illinois",MIN,2007
13,Mike James,PG,6-2,188,"June 23, 1975",us US,5,Duquesne,MIN,2007
55,Marko Jarić,SG,6-7,198,"October 12, 1978",rs RS,4,,MIN,2007
35,Mark Madsen,C,6-9,240,"January 28, 1976",us US,6,Stanford,MIN,2007
1,Rashad McCants,SG,6-4,207,"September 25, 1984",us US,1,UNC,MIN,2007
9,Justin Reed,PF,6-8,240,"January 16, 1982",us US,2,Ole Miss,MIN,2007
5,Craig Smith,PF,6-7,250,"November 10, 1983",us US,R,Boston College,MIN,2007
6,Bracey Wright,SG,6-3,210,"July 1, 1984",us US,1,Indiana,MIN,2007
22,Corey Brewer,SF,6-9,186,"March 5, 1986",us US,R,Florida,MIN,2008
7,Greg Buckner,SG,6-4,210,"September 16, 1976",us US,8,Clemson,MIN,2008
51,Michael Doleac,C,6-11,262,"June 15, 1977",us US,9,Utah,MIN,2008
4,Randy Foye,PG,6-4,213,"September 24, 1983",us US,1,Villanova,MIN,2008
8,Ryan Gomes,PF,6-7,250,"September 1, 1982",us US,2,Providence,MIN,2008
15,Gerald Green,SF,6-6,205,"January 26, 1986",us US,2,,MIN,2008
55,Marko Jarić,SG,6-7,198,"October 12, 1978",rs RS,5,,MIN,2008
25,Al Jefferson,C,6-10,289,"January 4, 1985",us US,3,,MIN,2008
35,Mark Madsen,PF,6-9,240,"January 28, 1976",us US,7,Stanford,MIN,2008
1,Rashad McCants,SG,6-4,207,"September 25, 1984",us US,2,UNC,MIN,2008
42,Theo Ratliff,PF,6-10,225,"April 17, 1973",us US,12,Wyoming,MIN,2008
32,Chris Richard,C,6-9,270,"December 25, 1984",us US,R,Florida,MIN,2008
5,Craig Smith,PF,6-7,250,"November 10, 1983",us US,1,Boston College,MIN,2008
30,Kirk Snyder,SF,6-6,225,"June 5, 1983",us US,3,Nevada,MIN,2008
3,Sebastian Telfair,PG,6-0,165,"June 9, 1985",us US,3,,MIN,2008
24,Antoine Walker,PF,6-9,224,"August 12, 1976",us US,11,Kentucky,MIN,2008
52,Calvin Booth,C,6-11,230,"May 7, 1976",us US,9,Penn State,MIN,2009
22,Corey Brewer,SF,6-9,186,"March 5, 1986",us US,1,Florida,MIN,2009
1,Bobby Brown,PG,6-2,175,"September 24, 1984",us US,R,Cal State Fullerton,MIN,2009
14,Brian Cardinal,PF,6-8,245,"May 2, 1977",us US,8,Purdue,MIN,2009
10,Rodney Carney,SG,6-7,205,"April 15, 1984",us US,2,Memphis,MIN,2009
34,Jason Collins,C,7-0,255,"December 2, 1978",us US,7,Stanford,MIN,2009
4,Randy Foye,SG,6-4,213,"September 24, 1983",us US,2,Villanova,MIN,2009
8,Ryan Gomes,SF,6-7,250,"September 1, 1982",us US,3,Providence,MIN,2009
25,Al Jefferson,C,6-10,289,"January 4, 1985",us US,4,,MIN,2009
42,Kevin Love,C,6-8,251,"September 7, 1988",us US,R,UCLA,MIN,2009
35,Mark Madsen,C,6-9,240,"January 28, 1976",us US,8,Stanford,MIN,2009
1,Rashad McCants,SG,6-4,207,"September 25, 1984",us US,3,UNC,MIN,2009
33,Mike Miller,SF,6-8,218,"February 19, 1980",us US,8,Florida,MIN,2009
12,Kevin Ollie,PG,6-4,195,"December 27, 1972",us US,11,UConn,MIN,2009
5,Craig Smith,PF,6-7,250,"November 10, 1983",us US,2,Boston College,MIN,2009
3,Sebastian Telfair,PG,6-0,165,"June 9, 1985",us US,4,,MIN,2009
